Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
airfoil,1,10.9877803,7.131557539985332,7.388981487598799,3,3,3,myexp(myexp(1.571))
airfoil,2,43.6164894,6.051467308353095,6.231404198541312,35,35,10,"-(+(mysquare(3.142), -(+(10.0, -(+(100.0, 10.0), +(mysqrt(Angle of attack(degrees)), +(myexp(myexp(Chord length(m))), -(mydiv(10.0, -1.0), -(-1.0, Chord length(m))))))), mysquare(mysquare(myexp(Chord length(m)))))), -(3.142, mylog(mydiv(Free-stream velocity(m/s), Frequency(Hz)))))"
airfoil,3,25.146709399,6.815615225997729,7.0423633196071025,19,19,9,"mydiv(+(myprod(-3.142, 1.571), -(-10.0, mydiv(+(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), -(-10.0, 100.0)))), -1.0))), -1.0)"
airfoil,4,42.7215422,4.806373681298715,4.802129966603273,37,37,10,"mysquare(+(-(-10.0, -(1.571, myprod(Suction side displacement thickness(m), myexp(-(1.571, Chord length(m)))))), mysqrt(mydiv(-(1.571, myprod(myprod(myprod(mydiv(-100.0, -1.0), -(0.0, Suction side displacement thickness(m))), mysquare(mydiv(Chord length(m), 1.571))), myprod(1.0, -(-(Frequency(Hz), 100.0), 100.0)))), 100.0))))"
airfoil,5,38.346980299,6.57706287881874,6.7911941963102,28,28,10,"myprod(mysqrt(mysquare(mylog(3.142))), myprod(+(mysqrt(myexp(mylog(mydiv(myprod(1.0, -1.0), -(-10.0, +(Frequency(Hz), 100.0)))))), mysqrt(mysqrt(mysquare(mysqrt(mysquare(mylog(3.142))))))), mysquare(10.0)))"
airfoil,6,55.8032452,5.665456240168073,5.7180972112324255,39,39,10,"+(mylog(myprod(mydiv(myprod(mydiv(myexp(-(10.0, -10.0)), Chord length(m)), mydiv(mydiv(myexp(10.0), Frequency(Hz)), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), Chord length(m))))), -(10.0, mydiv(10.0, mydiv(-10.0, mydiv(Angle of attack(degrees), mydiv(Free-stream velocity(m/s), Frequency(Hz))))))), mydiv(myexp(10.0), Frequency(Hz)))), myprod(10.0, 10.0))"
airfoil,7,59.3514193,6.335440478173725,6.351145328095093,42,42,9,"+(mydiv(myexp(mydiv(-3.142, myprod(-(myprod(-3.142, Suction side displacement thickness(m)), +(Suction side displacement thickness(m), -(Suction side displacement thickness(m), 1.571))), 1.571))), myexp(mydiv(-3.142, mylog(mylog(mysqrt(Frequency(Hz))))))), +(mydiv(-(Suction side displacement thickness(m), +(Suction side displacement thickness(m), +(Suction side displacement thickness(m), -(Suction side displacement thickness(m), mydiv(10.0, 10.0))))), myexp(mydiv(-3.142, myexp(Suction side displacement thickness(m))))), 100.0))"
airfoil,8,12.361965199,5.642263368552802,5.650929906523913,14,14,7,"+(1.571, +(1.571, +(+(myexp(3.142), mydiv(Suction side displacement thickness(m), mydiv(-10.0, Frequency(Hz)))), 100.0)))"
airfoil,9,36.3861637,5.930601288644025,6.105082443867267,31,31,10,"myexp(mysqrt(mylog(mysquare(+(+(myprod(mydiv(1.571, Suction side displacement thickness(m)), 10.0), +(10.0, mydiv(-(Frequency(Hz), 100.0), -1.0))), -(myprod(myprod(mylog(100.0), mydiv(-3.142, -3.142)), mysquare(myprod(1.571, -100.0))), Frequency(Hz)))))))"
airfoil,10,54.503266001,5.239016674734819,5.333493681937003,43,43,10,"+(mylog(100.0), +(+(100.0, +(-1.0, +(+(mysqrt(mysqrt(mylog(10.0))), mydiv(mylog(Suction side displacement thickness(m)), -1.0)), mydiv(mylog(Suction side displacement thickness(m)), -1.0)))), +(0.0, +(mysquare(-(3.142, Chord length(m))), mydiv(-(mysqrt(Free-stream velocity(m/s)), mydiv(-(Suction side displacement thickness(m), Frequency(Hz)), -(100.0, mydiv(100.0, Chord length(m))))), 3.142)))))"
airfoil,11,32.8790454,6.1465840187743925,6.32548836386036,32,32,10,"-(100.0, -(1.0, myprod(-(-(Chord length(m), -(+(-(1.571, +(Chord length(m), -10.0)), mydiv(mylog(Frequency(Hz)), myprod(3.142, -3.142))), mylog(Frequency(Hz)))), mysquare(-(-(myexp(1.571), Chord length(m)), myexp(Suction side displacement thickness(m))))), -1.571)))"
airfoil,12,60.931586599,5.054777718945834,5.045110582808917,44,44,9,"+(mydiv(Chord length(m), mydiv(+(myexp(mysqrt(mysqrt(myexp(-100.0)))), -(mydiv(Chord length(m), mydiv(Chord length(m), mydiv(1.0, 3.142))), myexp(1.0))), +(mydiv(mysquare(Angle of attack(degrees)), 1.571), +(-10.0, mysqrt(Frequency(Hz)))))), +(3.142, +(myexp(mydiv(Chord length(m), mydiv(1.0, 3.142))), +(3.142, +(myexp(3.142), 100.0)))))"
airfoil,13,49.582655601,5.9084963269683035,5.897526762815119,57,57,10,"+(+(+(+(+(+(+(-(10.0, -100.0), 0.0), mydiv(mylog(1.571), -100.0)), mydiv(Chord length(m), -(Angle of attack(degrees), 3.142))), mylog(mysquare(mydiv(mydiv(mylog(1.571), mysqrt(Chord length(m))), Suction side displacement thickness(m))))), mydiv(1.571, mysqrt(mydiv(Frequency(Hz), -(10.0, -100.0))))), mydiv(mylog(1.571), mysqrt(Chord length(m)))), mysquare(-(+(mydiv(-3.142, mysqrt(mydiv(Frequency(Hz), -(10.0, -100.0)))), mysqrt(0.0)), mysqrt(Chord length(m)))))"
