Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
airfoil,1,33.7820901,6.762570532452615,6.637846668772702,23,23,10,"mylog(-(-(95.752, myprod(myexp(95.752), -(-0.934, myprod(mysquare(mylog(mysqrt(Suction side displacement thickness(m)))), mysqrt(myexp(54.456)))))), myprod(myexp(95.752), mysqrt(myexp(54.456)))))"
airfoil,2,26.8375334,5.50780705363122,5.633297546210342,20,20,9,"+(myprod(mysqrt(98.07), myexp(myexp(mydiv(mydiv(Frequency(Hz), 98.07), mydiv(mydiv(-58.648, Suction side displacement thickness(m)), +(mydiv(Frequency(Hz), 98.07), -8.559)))))), 98.07)"
airfoil,3,34.436774801,4.824526409974761,4.902798445009129,35,35,9,"+(mysquare(-9.002), -(49.73, mysqrt(-(+(+(+(myprod(Frequency(Hz), Suction side displacement thickness(m)), -0.547), -0.547), +(myprod(myprod(Chord length(m), Frequency(Hz)), Suction side displacement thickness(m)), +(myprod(Frequency(Hz), Suction side displacement thickness(m)), -0.547))), myprod(myprod(Chord length(m), Frequency(Hz)), mydiv(mylog(mysqrt(Suction side displacement thickness(m))), Free-stream velocity(m/s)))))))"
airfoil,4,21.4418325,5.692363409801145,5.6638006811661405,16,16,9,"+(+(25.126, +(25.126, +(25.126, mylog(mysquare(mydiv(mydiv(Free-stream velocity(m/s), Frequency(Hz)), Suction side displacement thickness(m))))))), mysquare(6.833))"
airfoil,5,30.210779201,6.229574319228178,6.122498586364372,22,22,10,"+(mysquare(mylog(myprod(-(9.52, mydiv(mylog(Suction side displacement thickness(m)), 0.215)), myprod(9.52, myexp(mydiv(myprod(2.57, Free-stream velocity(m/s)), mysqrt(mysquare(Frequency(Hz))))))))), mysquare(9.52))"
airfoil,6,57.0730588,6.831876757993995,6.621253131153677,55,55,10,"+(mydiv(-(Suction side displacement thickness(m), -62.802), mydiv(-(-(+(Angle of attack(degrees), Frequency(Hz)), mylog(-(Frequency(Hz), myprod(-11.488, -11.488)))), mylog(mydiv(mysqrt(myexp(Free-stream velocity(m/s))), mysquare(mysquare(Frequency(Hz)))))), +(3.477, +(3.477, +(3.477, +(3.477, Frequency(Hz))))))), mydiv(-(Suction side displacement thickness(m), -62.802), mydiv(-(+(Angle of attack(degrees), Frequency(Hz)), mylog(mydiv(mysqrt(myexp(Free-stream velocity(m/s))), mysquare(mydiv(Free-stream velocity(m/s), mydiv(-0.407, Frequency(Hz))))))), Frequency(Hz))))"
airfoil,7,21.3108216,6.175474233798787,5.938399288081272,19,19,9,"-(57.934, -(-9.537, -(57.934, mysquare(myprod(Suction side displacement thickness(m), myprod(myprod(Chord length(m), Chord length(m)), -(mysquare(Angle of attack(degrees)), +(Frequency(Hz), -54.713))))))))"
airfoil,8,11.1117542,14.043901711677035,14.910649279167988,12,12,9,"-(Free-stream velocity(m/s), +(-76.741, myprod(mylog(mysqrt(mysqrt(mylog(mysqrt(Free-stream velocity(m/s)))))), Free-stream velocity(m/s))))"
airfoil,9,28.8810622,4.848518250841874,4.960588983549812,65,65,10,"+(+(myprod(Chord length(m), -(-(0.768, +(+(Angle of attack(degrees), mysqrt(+(Frequency(Hz), -2.308))), -2.308)), +(+(Angle of attack(degrees), +(Angle of attack(degrees), Angle of attack(degrees))), mylog(mydiv(Suction side displacement thickness(m), -(Free-stream velocity(m/s), Angle of attack(degrees))))))), +(myprod(Chord length(m), +(mysqrt(-(Free-stream velocity(m/s), Angle of attack(degrees))), +(mysqrt(-(Free-stream velocity(m/s), Angle of attack(degrees))), mysqrt(-(Free-stream velocity(m/s), Angle of attack(degrees)))))), +(myexp(2.53), mylog(mydiv(myprod(0.768, mysquare(myprod(Free-stream velocity(m/s), 0.768))), mysqrt(mysquare(mysqrt(Suction side displacement thickness(m))))))))), mysquare(myexp(myexp(mysqrt(mysqrt(0.521))))))"
airfoil,10,34.975428801,5.539974482806728,5.563592790234827,45,45,10,"mysquare(-(-(myprod(-0.409, 26.099), -(-(-(-(myprod(-0.409, -0.184), Suction side displacement thickness(m)), Suction side displacement thickness(m)), mysquare(mydiv(myprod(mysquare(Suction side displacement thickness(m)), mylog(Frequency(Hz))), Suction side displacement thickness(m)))), Suction side displacement thickness(m))), -(-(-(-(-(mysqrt(mydiv(Free-stream velocity(m/s), Frequency(Hz))), Chord length(m)), -0.409), Suction side displacement thickness(m)), Suction side displacement thickness(m)), mysquare(mydiv(myprod(mysquare(Suction side displacement thickness(m)), mylog(Frequency(Hz))), Suction side displacement thickness(m))))))"
airfoil,11,55.546124501,4.717271748864276,4.864028231459644,40,40,10,"+(-(Chord length(m), myprod(Suction side displacement thickness(m), +(28.209, -(+(Angle of attack(degrees), +(mydiv(-0.472, Suction side displacement thickness(m)), myprod(Chord length(m), Frequency(Hz)))), Free-stream velocity(m/s))))), +(mydiv(Free-stream velocity(m/s), myprod(mysquare(myexp(mysqrt(Chord length(m)))), mysqrt(mysqrt(-(Frequency(Hz), myprod(+(-2.364, -2.364), mydiv(Angle of attack(degrees), Chord length(m)))))))), myprod(28.209, 4.356)))"
airfoil,12,19.410075301,7.000802255086481,6.745137653989794,10,10,9,"mylog(mysquare(myexp(myexp(mysqrt(myexp(myexp(-(-8.373, -9.417))))))))"
airfoil,13,40.4290013,6.389248489517831,6.317450167479738,32,32,10,"+(mydiv(-91.523, +(mylog(myprod(mylog(myexp(mydiv(0.906, Suction side displacement thickness(m)))), 0.158)), mylog(mysquare(+(-48.008, mydiv(mylog(+(Chord length(m), Angle of attack(degrees))), Suction side displacement thickness(m))))))), myexp(+(mylog(-(Chord length(m), +(-48.008, Chord length(m)))), myexp(Suction side displacement thickness(m)))))"
airfoil,14,43.2543706,6.240638420457949,6.181662267531111,31,31,10,"mysquare(mylog(myprod(myprod(mysqrt(Frequency(Hz)), mydiv(myexp(8.73), myexp(mysqrt(myexp(myprod(Suction side displacement thickness(m), 13.843)))))), mydiv(mysqrt(Frequency(Hz)), mydiv(+(-(13.843, +(myprod(Chord length(m), Free-stream velocity(m/s)), +(Free-stream velocity(m/s), 13.843))), Frequency(Hz)), 32.07)))))"
airfoil,15,11.606358401,7.01017174549516,6.747415689661165,5,5,5,mylog(mysquare(mysquare(myexp(31.385))))
airfoil,16,14.0369045,6.78725934831152,6.606272959677741,11,11,7,"-(-(myexp(mysqrt(mysqrt(mysquare(-12.913)))), mylog(mysqrt(Suction side displacement thickness(m)))), -86.168)"
airfoil,17,47.543119,4.873952639201957,4.850598575243903,41,41,10,"+(86.536, +(18.47, +(18.47, -(myprod(0.559, mydiv(myprod(-(Angle of attack(degrees), Frequency(Hz)), Suction side displacement thickness(m)), -(myexp(0.559), -(Chord length(m), mylog(Free-stream velocity(m/s)))))), +(+(+(mylog(Chord length(m)), 0.559), mylog(Chord length(m))), mysquare(mydiv(mydiv(+(Suction side displacement thickness(m), Frequency(Hz)), myprod(-38.059, 82.518)), mylog(Chord length(m)))))))))"
airfoil,18,19.968347101,6.621386320641038,6.512143452371575,12,12,6,"-(mysquare(myprod(-(-1.521, myprod(-1.521, Suction side displacement thickness(m))), -5.38)), -(15.29, 75.202))"
airfoil,19,20.6300093,7.172535228173948,6.9883336046006646,15,15,9,"mysquare(mylog(-(Frequency(Hz), myprod(-7.493, -(-7.493, myprod(-7.493, -(mysquare(35.551), mysqrt(Frequency(Hz)))))))))"
airfoil,20,53.7067713,6.373152825511856,6.422480576644117,40,40,10,"+(93.661, myprod(myprod(+(myexp(Suction side displacement thickness(m)), mysqrt(myprod(mydiv(mydiv(mydiv(46.14, 74.9), myexp(Suction side displacement thickness(m))), -85.733), mydiv(Free-stream velocity(m/s), -0.735)))), myexp(mydiv(mydiv(mysqrt(mysqrt(73.457)), myexp(Suction side displacement thickness(m))), myexp(Suction side displacement thickness(m))))), myexp(mydiv(mysqrt(73.457), myprod(Chord length(m), mysquare(mydiv(Free-stream velocity(m/s), -0.735)))))))"
airfoil,21,26.283612699,12.521830640955134,12.62574007790032,30,30,9,"-(Free-stream velocity(m/s), -(mydiv(mydiv(Suction side displacement thickness(m), mydiv(mydiv(Suction side displacement thickness(m), mysquare(4.957)), mydiv(mydiv(17.436, +(-0.247, Free-stream velocity(m/s))), mylog(Free-stream velocity(m/s))))), mylog(mydiv(0.277, mydiv(17.436, +(-0.247, +(-0.247, Free-stream velocity(m/s))))))), 71.552))"
airfoil,22,45.2744619,6.385797136033691,6.253707079678908,39,39,10,"myprod(myexp(myexp(mydiv(-23.292, +(mydiv(99.239, Suction side displacement thickness(m)), -(-23.292, -(mydiv(mysquare(-60.397), mylog(Angle of attack(degrees))), -60.397)))))), +(-8.603, -(-(-(-(mysquare(7.401), mydiv(myexp(-0.976), -0.976)), myprod(myprod(Chord length(m), Chord length(m)), mydiv(-1.488, -0.131))), Chord length(m)), Suction side displacement thickness(m))))"
airfoil,23,42.624211699,5.923146936757537,5.6797595881301515,38,38,9,"+(64.996, +(64.996, -(mydiv(mydiv(mydiv(myexp(myexp(-0.978)), mysqrt(+(Chord length(m), Angle of attack(degrees)))), +(Chord length(m), +(Chord length(m), myexp(Chord length(m))))), +(Chord length(m), +(Chord length(m), myexp(mysquare(Chord length(m)))))), mylog(mysquare(+(+(mysqrt(Frequency(Hz)), -7.98), mydiv(-0.978, Chord length(m))))))))"
airfoil,24,45.093050801,4.691480405493137,4.741019117590341,35,35,9,"+(mysqrt(-(myprod(myexp(-(myexp(Suction side displacement thickness(m)), myexp(Chord length(m)))), +(Free-stream velocity(m/s), Free-stream velocity(m/s))), +(Free-stream velocity(m/s), mysqrt(myprod(Frequency(Hz), Suction side displacement thickness(m)))))), +(-(-(44.244, mysquare(mylog(mydiv(mydiv(Frequency(Hz), 80.613), 9.18)))), mysqrt(myprod(Frequency(Hz), Suction side displacement thickness(m)))), 80.613))"
airfoil,25,31.2639745,5.996584839029146,6.21400729954911,23,23,8,"+(+(-0.256, mysquare(6.282)), +(43.533, +(43.533, myprod(mysquare(Suction side displacement thickness(m)), -(+(myprod(Frequency(Hz), -1.754), mysquare(-8.412)), mydiv(mysqrt(Frequency(Hz)), Suction side displacement thickness(m)))))))"
